SAMPLE,Weather,Location,SITE,TEMP,PH,CONDUCTIVITY,DO,Turburdity,Nitrite,NITRATE,TOTAL_COLI,E-Coli,FEACEL,AMONIAUM,BOD,COD,PHOSPHATE,SALINITY,WQI
26-Jan-95,,Ashton vale,4,7,,690,,23,0.124,0.072,73000,36000,,,,,,,74.13318049
26-Jan-95,,Hartcliffe Way,5,7,,550,,50,0.046,0.11,19000,4000,,,,,,,70.83906284
26-Jan-95,,Manor Wood,6,7,,660,,10,0.055,1,47000,6300,,,,,,,73.42729814
26-Jan-95,,Gas works at Malago Vale,7,7,,780,,22,0.055,0.35,8600,6000,,,,,,,76.25082755
26-Jan-95,,Lynet Way,8,7,,570,,8,0.077,0.06,4700,1400,,,,,,,71.30965108
26-Jan-95,,Allison Road,9,7,,590,,7,0,0.8,22000,19000,,,,,,,71.78023932
26-Jan-95,,Cadogan Road,10,8,,710,,3,0.021,0.076,110000,45000,,,,,,,74.60376873
26-Jan-95,,St Georges Park Lake,11,6,,470,,5,0.018,0.13,1000,740,,,,,,,68.9567099
26-Jan-95,,Dubbers Lane,12,10,,1650,,6,0.254,0.15,61000,4200,,,,,,,96.72141579
26-Jan-95,,Eastville Park Lake,13,6,,530,,1,0.009,0.012,480,200,,,,,,,70.36847461
26-Jan-95,,Snuff Mills,14,7,,480,,75,0.057,>1,20000,8100,,,,,,,69.19200402
27-Jan-95,,Avonmouth Rhine,1,3,,1700,,19,0.023,0.13,400,<200,,,,,,,97.89788637
27-Jan-95,,Trowbridge Road,2,8,,750,,3,0.034,0.11,380000,20000,,,,,,,75.5449452
27-Jan-95,,Coombe Dingle,3,7,,820,,3,0.019,0.055,8500,800,,,,,,,77.19200402
27-Jan-95,,Mina Park ,15,9,,1060,,2,0.036,0.8,11000,2400,,,,,,,82.83906284
22-Feb-95,,Avonmouth Rhine,1,8,7,800,,3,0.09,0.051,200,<200,,,4,,,,72.4410482
22-Feb-95,,Trowbridge Road,2,8,8,900,,0,0.03,>1,110000,24000,,,3,,,,84.85934886
22-Feb-95,,Coombe Dingle,3,9,8,800,,1,0.012,>1,28000,2000,,,3,,,,82.50640768
22-Feb-95,,Ashton vale,4,8,8,900,,0,0.169,1,18000,2200,,,3,,,,84.85934886
22-Feb-95,,Hartcliffe Way,5,8,8,,,1,0.036,>1,34000,2500,,,2,,,,79.71012178
24-Feb-95,,Manor Wood,6,,8,,,1,0.027,>1,62000,33000,,,4,,,,88.33757276
24-Feb-95,,Gas works at Malago Vale,7,,8,,,4,0.387,>1,20000,5400,,,4,,,,88.33757276
24-Feb-95,,Lynet Way,8,8,8,,,2,0.051,>1,6000,800,,,2,,,,79.71012178
24-Feb-95,,Allison Road,9,8,7,,,1,0.218,0.068,190000,38000,,,4,,,,73.95848779
24-Feb-95,,Cadogan Road,10,9,7,1080,,0,0.143,>1,16000,4400,,,8,,,,96.28418546
24-Feb-95,,St Georges Park Lake,11,6,7,,,1,0.006,0.28,22000,4000,,,9,,,,95.52711525
24-Feb-95,,Dubbers Lane,12,11,7,,,0,0.5,0.17,32000,4000,,,46,,,,255.1349584
