,TEMP,PH,CONDUCTIVITY,DO,BOD
0,7,,690,,
1,7,,550,,
2,7,,660,,
3,7,,780,,
4,7,,570,,
5,7,,590,,
6,8,,710,,
7,6,,470,,
8,10,,1650,,
9,6,,530,,
10,7,,480,,
11,3,,1700,,
12,8,,750,,
13,7,,820,,
14,9,,1060,,
15,8,7,800,,4
16,8,8,900,,3
17,9,8,800,,3
18,8,8,900,,3
19,8,8,,,2
20,,8,,,4
21,,8,,,4
22,8,8,,,2
23,8,7,,,4
24,9,7,1080,,8
25,6,7,,,9
26,11,7,,,46
27,6,7,,,6
28,7,8,,,3
29,9,8,,,3
30,11,8,860,,16
31,8,8,880,,5
32,6,7,860,,2
33,10,8,820,,2
34,10,8,,,6
35,9,8,,,7
36,10,8,,,3
37,6,8,1160,,15
38,7,7,980,,4
39,7,7,980,,3
40,8,7,1040,,3
41,9,8,,,2
42,8,9,,,5
43,9,7,,,9
44,11,7,,,4
45,10,8,,,53
46,10,8,,,1
47,10,8,,,4
48,10,8,,,1
49,10,8,,,4
50,11,8,,,5
51,,,,,
52,10,8,,,2
53,9,8,,,3
54,9,8,,,3
55,12,8,,,12
56,12,8,,,8
57,10,8,,,1
58,11,8,,,2
59,18,7.5,2610,67,51
60,15,7.6,700,66,14
61,14,7.6,776,86,1
62,14,7.4,116,65,3
63,16,7.6,650,112,2
64,14,7.4,643,79,3
65,15,7.6,766,70,2
66,16,8.1,764,88,11
67,14,7.6,800,60,30
68,13,7.5,770,71,3
69,20,7.6,810,45,5
70,13,7.7,2350,108,26
71,22,7.7,790,106,18
72,15,7.9,740,97,3
73,12,7.7,1060,88,6
74,17,8.1,770,,
75,,,,,28
76,,,,,17
77,,,,,2
78,,,,,4
79,,,,,12
80,,,,,5
81,17,7.5,888,,2
82,18,7.9,840,,13
83,18,7.7,875,,6
84,17,7.54,908,,15
85,23,7.7,798,,4
86,15,7.6,2240,,11
87,26,8.23,,,11
88,18,7.95,,,2
89,14,7.9,,,2
90,21,8,785,,3
91,,,1664,,4
92,,,890,,43
93,,,1010,,2
94,,,1160,,2
95,,,660,,3
96,,,680,,3
97,,,881,,9
98,,,920,,2
99,,,905,,2
100,,,988,,63
101,,,953,,4
102,,,2330,,11
103,,,917,,14
104,,,856,,2
105,,,1033,,4
106,,,818,,8
107,13,7.47,1440,60,15
108,15,7.4,810,89,5
109,12,7.3,850,71,2
110,12,7.6,680,58,3
111,13,7.4,670,72,2
112,15,7.5,650,70,5
113,13,7.5,700,71,2
114,13,8.2,1050,80,8
115,16,7.45,980,53,15
116,13,7.76,950,90,3
117,16,8.2,670,92,2
118,14,7.57,970,57,6
119,15,8.06,690,95,8
120,13,7.94,940,76,2
121,14,7.74,970,89,2
122,15,7.5,950,79,2
123,13,7.7,708,83,2
124,14,7.7,732,83,2
125,13,7.7,830,80,2
126,13,8.2,,,2
127,13,7.8,806,97,2
128,15,7.7,893,73,12
129,14,8.02,1006,100,2
130,14,8,773,89,2
131,14,7.6,639,54,5
132,12,7.7,484,62,3
133,12,7.65,709,118,3
134,13,7.9,725,70,2
135,13,7.6,1319,56,39
136,11,7.7,705,60,15
137,13,7.9,375,70,4
138,9,6.9,1482,98,
139,11,7.4,777,94,
140,9,7.2,891,94,
141,9,7.5,826,69,
142,10,,754,92,
143,10,7.9,720,101,
144,9,7.5,1019,109,
145,12,7.5,828,105,
146,10,8.1,547,90,
147,10,8,371,89,
148,9,7.5,756,34,
149,11,7.7,898,85,
150,7,7.7,666,70,
151,9,8.1,709,106,
152,11,7.7,735,99,
153,9,8.1,677,94,
154,5.2,7.1,830,67,1
155,7.6,7,820,48,13
156,6.3,,25,,4
157,5.8,7.9,437,,12
158,3.8,7.5,1554,,2
159,6.5,7.7,459,,9
160,5.5,7.8,726,,5
161,5.8,7.6,289,,8
162,5.2,7.4,580,,7
163,6.2,8.1,353,,9
164,4.5,7.6,749,,8
165,2.6,7.9,649,,5
166,5.5,7.3,676,,7
167,6.2,7.6,852,,11
168,4.3,8.2,712,,4
169,6.3,7.9,558,,6
170,5.5,8.2,741,,5
171,5,8.2,885,70,4
172,2.4,7.2,214,50,4
173,6.5,6.8,984,67,12
174,5.2,,6,81,2
175,5.3,8.3,770,83,3
176,7.5,8.1,1047,91,4
177,12,8.2,698,77,2
178,6.2,8.3,1047,96,4
179,5.2,9.2,719,,24
180,3.7,8.1,818,,6
181,4.6,8.8,742,,4
182,12,8.5,730,,4
183,9.2,7.8,2250,,20
184,5.1,8.2,773,,2
185,8.6,8.2,1096,,2
186,5.1,8.1,710,,2
187,6.2,8.4,716,76,3
188,7.1,8.3,1844,63,6
189,7.6,7.8,837,76,4
190,6.5,,12,77,3
191,7.3,8.3,720,74,2
192,8.2,,1087,85,3
193,7.2,8.5,712,72,2
194,8.5,8.6,1029,82,3
195,5.9,8.1,600,,10
196,9,7.8,1787,81,7
197,5.7,5,676,96,2
198,6.4,8.5,674,80,2
199,7.8,8.8,690,,20
200,6.7,8.2,627,98,3
201,7.8,8.3,625,96,2
202,9,,1003,,3
203,13.7,7.6,1504,105,8
204,10.6,7.7,832,84,4
205,10,,11,108,2
206,9.9,,776,80,6
207,,,,,2
208,11.6,7.6,,,3
209,11.9,7.5,965,,3
210,13,8.1,977,,2
211,14,8.9,702,,10
212,16.6,8.8,585,,12
213,10.8,7.6,652,,3
214,10.8,8.5,644,,2
215,10.7,8.4,656,,2
216,11.8,7.6,1984,,25
217,12,8.9,685,,3
218,11.7,8.3,587,,2
219,11.5,7.9,592,,5
220,19.8,7.7,1480,,11
221,14.3,7.9,770,,25
222,12.8,,8,,2
223,13.2,7.8,1116,,8
224,15.7,8.2,713,,2
225,14.8,7.8,895,,19
226,13.7,7.6,635,,8
227,16.2,7.9,850,,4
228,19,8.4,,37,15
229,24.2,8.5,,86,28
230,13.8,8.2,,127,3
231,13.7,8.5,,113,3
232,13,7.9,,20,6
233,15,8.5,,54,3
234,13.2,8.2,,40,3
235,16,8.9,,156,8
236,19.5,7.5,1592,4,38
237,14.8,7.8,795,49,8
238,13.5,,26,63,3
239,15.2,7.7,717,66,2
240,14.6,7.5,930,56,2
241,14.7,7.7,685,63,2
242,14.6,7.7,900,58,2
243,14.2,8.2,1123,49,5
244,20.3,8.6,709,49,13
245,21.3,7.7,759,49,7
246,15,8.3,748,68,5
247,14.4,8.6,782,63,10
248,13.5,7.7,2240,46,7
249,15,8.2,804,76,2
250,13.9,8.1,1036,71,2
251,18.3,8.5,735,89,7
252,19.9,7.1,1810,8,14
253,18.4,7.2,830,52,9
254,17,,100,66,2
255,17.8,7.1,1140,31,4
256,17.6,7.1,700,67,3
257,16.8,7.1,920,41,2
258,16.8,7.2,760,62,3
259,17,7.1,960,53,4
260,20.6,8.1,760,62,27
261,21.6,7.9,760,132,6
262,17.6,7.4,590,76,2
263,17.2,7.1,720,71,7
264,15.4,8.1,1990,57,5
265,17.6,7.4,600,83,2
266,15.8,7,880,68,2
267,20.2,7.4,840,59,3
268,20.4,7,,12,9
269,16.4,7.2,900,46,9
270,15.6,,85,65,2
271,16.8,7.2,1210,30,9
272,17.6,7.2,720,70,2
273,16.8,7.2,910,49,3
274,17,7.1,780,46,5
275,16.8,7.2,900,55,2
276,16.8,7.3,360,88,3
277,16.6,7.5,500,78,3
278,16.8,6.7,1000,63,14
279,13.5,7.5,2140,3,7
280,14.4,7.7,900,49,4
281,12.4,,110,69,2
282,12.8,7.65,990,43,8
283,14.8,7.9,740,88,4
284,14,7.5,940,43,8
285,14.8,7.5,800,59,6
286,13.6,7.85,890,57,3
287,14.6,7.5,700,46,12
288,13.2,8.05,670,67,16
289,13,7.45,800,48,6
290,12.6,7.8,820,64,7
291,14,7.65,1680,52,7
292,13.2,7.15,2170,40,11
293,12.2,7.85,940,73,3
294,14,7.8,960,79,4
295,14.2,7.7,890,65,3
296,12.2,7,960,11,3
297,14.4,7.5,780,76,5
298,12.4,,110,73,2
299,12.2,7.6,690,66,3
300,13,7.6,600,83,2
301,13.2,7.5,690,66,7
302,12.6,7.9,710,85,3
303,12.8,,700,62,3
304,12,7.5,683,20,5
305,10.8,7.7,630,37,8
306,11,7.9,750,88,2
307,11.2,8,740,88,4
308,13,7.4,1400,70,7
309,12,7.4,1450,61,5
310,11.2,7.8,780,79,4
311,12,7.8,1000,79,6
312,11.4,7.7,,85,4
313,6.6,7.2,830,20,2
314,10,7.45,800,66,2
315,8.4,,,57,2
316,7.8,7.45,790,56,2
317,8.6,7.5,700,92,2
318,8.8,7.5,970,59,
319,9,7.55,680,96,6
320,8,7.3,980,58,2
321,4.4,8.1,630,25,2
322,3.6,8.4,600,35,7
323,7.8,8.2,660,76,2
324,7.6,8.35,650,85,2
325,10.6,7.85,1580,83,3
326,7.8,7.95,1480,60,5
327,6.6,8.35,720,78,2
328,9.8,8.3,960,85,20
329,6.6,8.3,660,80,2
330,4.8,7.1,1010,22,9
331,8.2,7.35,760,58,7
332,7.2,,72,60,2
333,6.6,7.3,850,63,3
334,7.6,7.25,876,59,2
335,8,7.3,670,74,20
336,6.6,7.25,940,65,2
337,4.6,7.15,640,58,3
338,4,7.25,660,40,13
339,6.2,7.45,770,73,3
340,6.8,7.6,760,79,2
341,10.8,6.95,1840,64,9
342,8,7.2,1790,46,18
343,5.8,7.55,800,70,3
344,8.6,7.45,1070,86,2
345,4.2,7,950,55,5
346,3.4,6.7,1320,17,4
347,4.8,7.1,820,66,4
348,6.6,7.9,760,63,8
349,4.2,7.2,590,66,2
350,6,7,840,69,3
351,3.6,6.9,630,5,4
352,3.6,7,690,107,8
353,6,7,840,69,19
354,6.8,7,1310,69,58
355,9.4,6.7,,65,26
356,50,7.4,810,72,6
357,8.2,6.9,1580,58,45
358,4.6,7.3,740,65,4
359,8.6,7.2,480,71,2
360,8.4,7.1,440,64,3
361,7,7,470,60,3
362,8.4,7.1,460,66,5
363,8.2,7.3,410,81,2
364,8.4,7.8,690,71,3
365,8.6,7.3,390,76,4
366,8.4,7.1,430,77,3
367,8.4,7.1,340,48,5
368,9,7.5,310,84,7
369,9.8,7.5,350,76,3
370,9.6,7.5,370,80,5
371,11,6.9,1560,70,3
372,10.4,7.6,1560,62,4
373,8.8,7.4,370,77,2
374,10.4,7.2,490,78,3
375,11.6,7.5,155,82,5
376,11.6,7.2,690,118,8
377,11,7.2,570,68,5
378,11.6,7.3,580,82,2
379,11,7.3,530,66,2
380,11.6,7.5,490,94,2
381,11.6,7.8,660,80,14
382,10.6,7.3,460,79,2
383,12,7.3,530,95,4
384,11.8,7.2,400,69,8
385,11.6,7.6,410,111,13
386,10.2,7.5,480,68,6
387,10,7.8,460,98,5
388,12.2,7,1700,67,27
389,11,7.9,1630,54,28
390,10.6,7.6,480,90,3
391,110,7.2,630,77,2
392,10.8,7.4,470,73,3
393,7.6,7.2,590,70,5
394,9.8,7.9,690,163,28
395,11,7.1,510,71,19
396,8.4,7.5,580,114,3
397,10.2,7.4,460,99,5
398,10.6,,,89,5
399,10.4,7.6,450,103,6
400,10.6,7.4,520,103,4
401,9.8,7.45,450,87,2
402,12.6,7.2,400,78,3
403,13.8,7.2,390,97,5
404,9.8,7.3,470,87,2
405,11.6,7,,64,5
406,9,7.8,,51,2
407,9,7.4,490,89,2
408,11,7.2,600,83,2
409,11.2,7.8,450,113,2
410,,,,,3
411,,,,,3
412,,,,,3
413,,7.81,914,,3
414,,,,,
415,,7.72,650,,2
416,,7.75,,,3
417,,,,,10
418,,,,,11
419,11.8,6.7,480,58,3
420,,,,,3
421,,,,,4
422,,7.77,,,15
423,,7.69,,,2
424,,,,,6
425,,,,,7
426,,,,,4
427,4.4,7.2,723,,2
428,15.4,6.9,697,70,5
429,13.6,7,677,79,2.2
430,12.8,6.9,,65,2
431,14.4,7,,91,2.2
432,14.4,,,61,2.4
433,14.6,6.9,,80,1
434,14.6,6.8,,72,1
435,15.2,7.6,606,,6.4
436,17.2,7.5,562,,9.2
437,,7.9,683,,1.8
438,13,7.9,617,,2.4
439,13.2,,,,3
440,13.5,7.8,,,1
441,13.4,8.1,606,,2
442,13.1,,911,,
443,13.7,7.9,559,,2
444,16.1,7.5,580,,2
445,,7.7,699,,2.4
446,15.4,7.6,679,,3.8
447,19,7,707,,8.6
448,15,7.3,730,,3.2
449,17.4,8.08,770,,11.2
450,12.4,7.2,922,,3.8
451,14.5,7.7,733,,6
452,11.9,7.6,830,,0.2
453,12.6,7.6,838,,2.6
454,13.3,7.7,634,,1
455,14.3,7.2,719,,5
456,,8.01,673,,
457,13.3,7.5,853,,0.2
458,12.1,7.5,772,,5
459,13.5,7.3,1750,,8
460,12.4,8,1638,,2
461,12,7.5,781,,9.3
462,13,7.6,1049,,9.3
463,15.4,6.7,755,,9.8
464,15.1,7.8,626,,9
465,10.9,7.5,804,,4.8
466,7.5,7.23,993,,6
467,11.7,7.2,833,,3
468,8.7,7.1,927,,2
469,11.7,7.4,875,,2
470,10,7.3,769,,2
471,11.6,7.4,719,,
472,10.7,7.7,724,,
473,9.6,6.2,815,,2
474,7.9,7.2,697,,10
475,8.8,7.1,783,,3
476,9.2,6.3,806,,5
477,12,7.2,1652,,
478,10.2,7.54,1485,,5
479,9.1,7.1,807,,2
480,11.8,6.7,1123,,6
481,10.5,6.5,790,,2
482,9.6,,660,20,1
483,12.2,7.3,560,67,4.4
484,10.8,7.4,590,63,4
485,12,7.3,550,60,4.2
486,11,7.3,490,73,5
487,11.4,7.3,490,78,3.6
488,11.2,7.15,540,61,
489,10,7.2,490,,9.2
490,11.8,7.6,330,,6.6
491,13.2,7.4,340,,5.6
492,12.4,6.75,294,,27
493,11,7.3,360,,4
494,12,7.2,330,,9.6
495,1.6,7.16,729,,
496,1,6.83,722,,4
497,5.9,6.7,936,,2
498,,4.5,958,,4
499,2.3,6.5,965,,2
500,6.3,6.9,882,,7
501,4.8,,845,,2
502,6.7,6.76,705,,3
503,5.1,6.62,1153,,2
504,4.5,5,845,,2
505,3.4,6.98,816,,2
506,9.7,6.6,2370,,28
507,7.5,6.8,2190,,24
508,4.4,6.8,810,,10
509,8.1,6.7,1230,,3
510,4.3,7,767,,3
511,7.4,7.7,570,,2
512,7.6,7.4,560,,7
513,7,7.7,630,,4
514,7.4,7.3,490,,6
515,8,7.3,490,,3
516,9,7.5,440,,7
517,9.2,7.05,470,,
518,6.6,7.4,460,,6
519,6.8,7.4,550,,2
520,8.2,7.9,460,,8
521,8.6,7.8,430,,4
522,11,7.2,1160,,13
523,9.4,7.45,1170,,2
524,7.6,7.45,500,,2
